tweet_id,tweet_ts,tweet_text,location,rt_count,fav_count,tweet_retweet,hashtags
1357386903159361538,2021-02-04 17:53:51,Muder of 👇 ,,172,0,RT,#TooMuchDemocracy
1357386894493896705,2021-02-04 17:53:49,Star War breaks out in India.All thanks to superstar PM ,"Scarborough, England",48,0,RT,"#ModiGlobalDisaster, #TooMuchDemocracy"
1357386887648935942,2021-02-04 17:53:47,"Whaat? We haven't disabled Rihanna's twitter handle, yet?",,914,0,RT,#TooMuchDemocracy
1357386875560808448,2021-02-04 17:53:44,RJD MP Prof Manoj Jha lambasted Modi in the running session!Sacked modi governmentWatch and listen,"Ahmadabad City, India",563,0,RT,"#FarmersProstest, #To…"
1357386864597041153,2021-02-04 17:53:42,"Too much shame brought to India by RW ,BJP, bhakts and Agent celebs ",,3,0,RT,#TooMuchDemocracy
1357386851229683712,2021-02-04 17:53:39,"In India, Today, Radical Hindu Nationalists have burnt the Images of  andprovocatively protes…","बैंगलुरु, भारत",30,0,RT,#GretaThunberg
1357386838009286657,2021-02-04 17:53:35,RJD MP Prof Manoj Jha lambasted Modi in the running session!Sacked modi governmentWatch and listen,Jaipur,562,0,RT,"#FarmersProstest, #To…"
1357386836344193026,2021-02-04 17:53:35,Muder of 👇 ,,172,0,RT,#TooMuchDemocracy
1357386834955784192,2021-02-04 17:53:35,RJD MP Prof Manoj Jha lambasted Modi in the running session!Sacked modi governmentWatch and listen,"Daman, India",563,0,RT,"#FarmersProstest, #To…"
1357386831491461122,2021-02-04 17:53:34,"Beware BHAKTS ,Sir'ssavage mode is on. 🙏🙏  ",,14,0,RT,"#TooMuchDemocracy, #KisanBill"
1357386829704568834,2021-02-04 17:53:33,India's global ranking dipped to 53 from 27 in 2014.  ,,2,0,RT,"#TooMuchDemocracy, #WorldSupportsIndianFarmers"
1357386764915122179,2021-02-04 17:53:18,RJD MP Prof Manoj Jha lambasted Modi in the running session!Sacked modi governmentWatch and listen,"Sydney, Australia",563,0,RT,"#FarmersProstest, #To…"
1357386758292398082,2021-02-04 17:53:16,Mia Khalifa Murdabad 🤡Are they really out of mind?   ,,15,0,RT,"#TooMuchDemocracy, #WorldSupportsIndianFarmers"
1357386736251281412,2021-02-04 17:53:11,Thanksji for Raising the Voice of Anna data. 🙏🙏 ,,65,0,RT,#TooMuchDemocracy
1357386733726310401,2021-02-04 17:53:11,RJD MP Prof Manoj Jha lambasted Modi in the running session!Sacked modi governmentWatch and listen,,563,0,RT,"#FarmersProstest, #To…"
1357386731675295752,2021-02-04 17:53:10,From😅 ,"Sangrur, India",0,0,TWEET,"#WorldSupportsIndianFarmers, #TooMuchDemocracy"
1357386729381003264,2021-02-04 17:53:09,That’s freedom of speech for you in a democratic country!  ,"Bengaluru, India",0,0,TWEET,#TooMuchDemocracy
1357386705205030913,2021-02-04 17:53:04,"Whaat? We haven't disabled Rihanna's twitter handle, yet?","British Columbia, Canada",914,0,RT,#TooMuchDemocracy
1357386703283998721,2021-02-04 17:53:03,RJD MP Prof Manoj Jha lambasted Modi in the running session!Sacked modi governmentWatch and listen,,563,0,RT,"#FarmersProstest, #To…"
1357386696875073540,2021-02-04 17:53:02,Current situation of cricketer and actors( Dogs of ambani )  ,,335,0,RT,"#TooMuchDemocracy, #SpinelessCelebs"
1357386651849216001,2021-02-04 17:52:51,Delhi Police is the answer to those who think how an organisation can't have more than one core competence.They excel at be…,,86,0,RT,
1357386648883970050,2021-02-04 17:52:50,Biggest Joke of the century.. hahahhaa     ,,0,0,TWEET,"#TooMuchDemocracy, #GodiMediaShameOnYou, #FarmersProstest, #ModiMadeDisaster"
1357386640633651200,2021-02-04 17:52:48,"Don't these goons have better things to do. I guess all unemployed ,useless#TooMuchDemocracy ",,172,0,RT,#TooMuchDemocracy
1357386615027548160,2021-02-04 17:52:42,Superb work.This is poetry!So powerfulEveryone must listen to this brilliant work.The way every aspect of all prevailin…,,39,0,RT,
1357386598887940097,2021-02-04 17:52:38,RJD MP Prof Manoj Jha lambasted Modi in the running session!Sacked modi governmentWatch and listen,,563,0,RT,"#FarmersProstest, #To…"
1357386571549265920,2021-02-04 17:52:32,Muder of 👇 ,,172,0,RT,#TooMuchDemocracy
1357386561877385223,2021-02-04 17:52:30,Current situation of cricketer and actors( Dogs of ambani )  ,"New Hampshire, USA",335,0,RT,"#TooMuchDemocracy, #SpinelessCelebs"
1357386550984679426,2021-02-04 17:52:27,Star War breaks out in India.All thanks to superstar PM ,,48,0,RT,"#ModiGlobalDisaster, #TooMuchDemocracy"
1357386533146304514,2021-02-04 17:52:23,There are many reasons to betray but today lack of fear of being punished is the leading reason.,,38,0,RT,#TooMuchDemocracy
1357386527505059843,2021-02-04 17:52:21,India's global ranking dipped to 53 from 27 in 2014.  ,"Ludhiana, punjab, India",2,0,RT,"#TooMuchDemocracy, #WorldSupportsIndianFarmers"
1357386504364953603,2021-02-04 17:52:16," Trump is defeated and the snakes started coming out. Say what you may, but Trump kept these left snakes in control. Now i know why Trump gets so much support",,0,0,TWEET,#TooMuchDemocracy
1357386503475793920,2021-02-04 17:52:16,Currently Situation of Cricketer and Actors.,"Dehradun, India",8,0,RT,"#TooMuchDemocracy, #StandWithFarmers"
1357386487617048576,2021-02-04 17:52:12, but It's Modi Government have the responsibility to clear the misunderstanding if he is right. ,,46,0,RT,"#IndiaRejectsPropaganda, #Wor…"
1357386480570695681,2021-02-04 17:52:10,India falls to 53rd position in EIU’s Democracy Index..,JABALPUR ,56,0,RT,#TooMuchDemocracy
1357386479039778819,2021-02-04 17:52:10,What about Arnab Goswami WhatsApp chats ,,0,0,TWEET,#TooMuchDemocracy
1357386471922044928,2021-02-04 17:52:08,RJD MP Prof Manoj Jha lambasted Modi in the running session!Sacked modi governmentWatch and listen,INDIA,563,0,RT,"#FarmersProstest, #To…"
1357386456780533760,2021-02-04 17:52:04,This is what is expected from BJP &amp; Godi media ,,41,0,RT,#TooMuchDemocracy
1357386425029824519,2021-02-04 17:51:57,RJD MP Prof Manoj Jha lambasted Modi in the running session!Sacked modi governmentWatch and listen,,563,0,RT,"#FarmersProstest, #To…"
1357386424123674624,2021-02-04 17:51:57,Good Morning! 🇮🇳 ,,108,0,RT,"#TooMuchDemocracy, #IndianFarmersHumanRights"
1357386415986757634,2021-02-04 17:51:55,"Beware BHAKTS ,Sir'ssavage mode is on. 🙏🙏  ",,14,0,RT,"#TooMuchDemocracy, #KisanBill"
1357386413285793795,2021-02-04 17:51:54, but It's Modi Government have the responsibility to clear the misunderstanding if he is right. ,,46,0,RT,"#IndiaRejectsPropaganda, #Wor…"
1357386400417501186,2021-02-04 17:51:51,Thanksji for Raising the Voice of Anna data. 🙏🙏 ,,65,0,RT,#TooMuchDemocracy
1357386399587201025,2021-02-04 17:51:51," ended up as democrash!  and  .Now,Godi ji when nothing worked out.. ",ਪੰਜਾਬ,0,0,TWEET,"#TooMuchDemocracy, #WorldSupportsIndianFarmers, #FarmersProtest"
1357386391915622400,2021-02-04 17:51:49,You can be a communist person in a democratic country.But you cannot be a democratic person in a communist country.…,,5,0,RT,
1357386378787495941,2021-02-04 17:51:46,"Who Will 𝗪𝗶𝗻 This 𝗕𝗮𝘁𝘁𝗹𝗲❓  ""Farmers"" 𝗢𝗿 ""M…",,132,0,RT,"#IStandWithFarmers, #IStandWithFarmers, #TooMuchDemocracy, #TooMuchDemocracy"
1357386368528261120,2021-02-04 17:51:43,Almost close to dictatorship 🙄 ,"Kolkata, India",0,0,TWEET,"#IStandWithFarmersNoMatterWhat, #TooMuchDemocracy"
1357386367685206017,2021-02-04 17:51:43,People who talk about  Democracy day in day out always follow and support anarchist rulers who killed democracy in thei…,,8,0,RT,
1357386365709778945,2021-02-04 17:51:43,RJD MP Prof Manoj Jha lambasted Modi in the running session!Sacked modi governmentWatch and listen,Delhi,561,0,RT,"#FarmersProstest, #To…"
1357386349330894851,2021-02-04 17:51:39,Delhi Police is the answer to those who think how an organisation can't have more than one core competence.They excel at be…,,86,0,RT,
1357386338857668611,2021-02-04 17:51:36,Fake Farmer’s Toolkit versus Real Farmer’s Toolkit    ,"Bilaspur, India",221,0,RT,"#TooMuchDemocracy, #ToolKitExposed, #FarmersProtest"
1357386335309492224,2021-02-04 17:51:36,"Beware BHAKTS ,Sir'ssavage mode is on. 🙏🙏  ",Bjp ko barbad karn hai,14,0,RT,"#TooMuchDemocracy, #KisanBill"
1357386330615939072,2021-02-04 17:51:34,"Art has and will always be for everyone. It has never divided communities, and never will. So, who brought in this division…","Pune, India",83,0,RT,
1357386329127071750,2021-02-04 17:51:34,Current situation of cricketer and actors( Dogs of ambani )  ,,335,0,RT,"#TooMuchDemocracy, #SpinelessCelebs"
1357386311682850816,2021-02-04 17:51:30,RJD MP Prof Manoj Jha lambasted Modi in the running session!Sacked modi governmentWatch and listen,,561,0,RT,"#FarmersProstest, #To…"
1357386307014594560,2021-02-04 17:51:29,"Don't these goons have better things to do. I guess all unemployed ,useless#TooMuchDemocracy ",,172,0,RT,#TooMuchDemocracy
1357386301297754117,2021-02-04 17:51:27,India falls to 53rd position in EIU’s Democracy Index..,"Mumbai, India",56,0,RT,#TooMuchDemocracy
1357386296864477190,2021-02-04 17:51:26,Good Morning! 🇮🇳 ,,108,0,RT,"#TooMuchDemocracy, #IndianFarmersHumanRights"
1357386250483761159,2021-02-04 17:51:15,"Who Will 𝗪𝗶𝗻 This 𝗕𝗮𝘁𝘁𝗹𝗲❓  ""Farmers"" 𝗢𝗿 ""M…","Raipur Chhattisgarh, India",132,0,RT,"#IStandWithFarmers, #IStandWithFarmers, #TooMuchDemocracy, #TooMuchDemocracy"
1357386248784998400,2021-02-04 17:51:15,Delhi Police is the answer to those who think how an organisation can't have more than one core competence.They excel at be…,,86,0,RT,
1357386242401308672,2021-02-04 17:51:13,Muder of 👇 ,,172,0,RT,#TooMuchDemocracy
1357386240769753088,2021-02-04 17:51:13,AAP Govt's water tankers not allowed to enter protest site at Singhu Border. AAP MP's not allowed to enter Parliament.…,"नई दिल्ली, भारत",313,0,RT,
1357386237145800706,2021-02-04 17:51:12,Current situation of cricketer and actors( Dogs of ambani )  ,,335,0,RT,"#TooMuchDemocracy, #SpinelessCelebs"
1357386234054602752,2021-02-04 17:51:11,Muder of 👇 ,,172,0,RT,#TooMuchDemocracy
1357386232544722956,2021-02-04 17:51:11,"Art has and will always be for everyone. It has never divided communities, and never will. So, who brought in this division…",,83,0,RT,
1357386225275994112,2021-02-04 17:51:09,Fake Farmer’s Toolkit versus Real Farmer’s Toolkit    ,Incredible India,221,0,RT,"#TooMuchDemocracy, #ToolKitExposed, #FarmersProtest"
1357386214676983808,2021-02-04 17:51:07,Watch this Interview of  on   , Nawanshahr,0,1,TWEET,"#TooMuchDemocracy, #ISTANDWITHFARMER, #farmersrprotest, #MandeepPunia"
1357386185027407874,2021-02-04 17:51:00,"Don't these goons have better things to do. I guess all unemployed ,useless#TooMuchDemocracy ",,172,0,RT,#TooMuchDemocracy
1357386163791618048,2021-02-04 17:50:55,RJD MP Prof Manoj Jha lambasted Modi in the running session!Sacked modi governmentWatch and listen,,563,0,RT,"#FarmersProstest, #To…"
1357386141964582912,2021-02-04 17:50:49,RJD MP Prof Manoj Jha lambasted Modi in the running session!Sacked modi governmentWatch and listen,,563,0,RT,"#FarmersProstest, #To…"
1357386126479159296,2021-02-04 17:50:46,People who talk about  Democracy day in day out always follow and support anarchist rulers who killed democracy in thei…,BHAGYANAGARAM,8,0,RT,
1357386126156197891,2021-02-04 17:50:46,Muder of 👇 ,,172,0,RT,#TooMuchDemocracy
1357386123559854082,2021-02-04 17:50:45,"Whaat? We haven't disabled Rihanna's twitter handle, yet?","Tripura, India",914,0,RT,#TooMuchDemocracy
1357386116324818945,2021-02-04 17:50:43,Current situation of cricketer and actors( Dogs of ambani )  ,,335,0,RT,"#TooMuchDemocracy, #SpinelessCelebs"
1357386102563348480,2021-02-04 17:50:40,People who talk about  Democracy day in day out always follow and support anarchist rulers who killed democracy in thei…,,8,0,RT,
1357386097890783232,2021-02-04 17:50:39,Delhi Police is the answer to those who think how an organisation can't have more than one core competence.They excel at be…,,86,0,RT,
1357386093587427331,2021-02-04 17:50:38,"""Duty is GOD!, Y shuld I compel my subordinates on their duty""? Says, SI Sireesha. Why some women r nt inspired 2wrk o…",MUMBAI MAHARASHTRA,2,0,RT,
1357386091993522176,2021-02-04 17:50:38,More power to youSorry for what your going through,"Hyderabad, India",0,0,TWEET,#TooMuchDemocracy
